0,1,2,3
0.62702966,0.0,0.0,0.0
0.50139076,1.5858132,0.3924214,-0.91703504
0.44403452,2.772199,-0.04917858,-1.514687
0.38468304,3.2071102,-0.2621622,-2.6051393
0.32205108,3.4061906000000004,-0.48696858,-3.546122
0.28125963,4.087898,-0.48363584,-3.9302995
0.22731155,4.7214985,-0.31364846,-3.900972
0.19391932,5.141851,-0.5592271,-4.0219393
0.16093476,5.285917,-0.7163602,-3.6679776
0.10389557,5.478801,-0.6613401,-3.4032912000000004
0.07723681,5.489893,-0.45991927,-3.3643038
0.05479178,5.573502,-0.46039718,-3.2419436000000004
0.023693489,5.5218844,-0.5389195,-3.2295557999999995
0.0,5.5229473,-0.5585138000000001,-3.21982
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.48113847,0.0,0.0,0.0
0.4074313,-1.0663464,-0.74512684,-0.25715217
0.35447177,-1.8619937,-1.3123115,-0.68164384
0.17635639,-1.9028512,-1.3312563,-0.7009678
0.15110601,-2.0296247,-1.6239413,-0.88694817
0.12627988,-2.1199849,-1.8165059,-1.1113051
0.101329006,-2.1411352000000003,-1.8881571,-1.3535626
0.08077682,-2.0374014,-1.8305224,-1.514569
0.055010986,-1.8908305,-1.7982183999999997,-1.5571377
0.025094867000000003,-1.8113595,-1.7553656000000002,-1.5877802
0.0,-1.8156576,-1.735018,-1.5752321000000002
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.3006485,0.0,0.0,0.0
1.099744,-1.1026877,-3.1043687,-3.2965195
0.95121014,-0.2476243,-5.412726,-6.19785
0.7772743000000001,-1.4357806,-5.2958183,-9.147337
0.6586601,-3.060921,-6.3542604,-10.674333
0.52203715,-2.7048488,-8.158380000000001,-11.451925
0.4182821,-2.3375082000000003,-9.325231,-12.276517
0.37261155,-2.038707,-10.15809,-12.934822
0.31826523,-1.1780566,-10.482163,-13.161519
0.28029963,-0.4271606,-10.440645,-13.329401999999998
0.24319807,0.20392187,-10.272259,-13.357951000000002
0.2098623,0.2522406,-9.945422,-13.792405
0.18635604,0.20509867,-9.805381,-14.222379
0.15239018,0.18447974,-9.701085,-14.601807
0.12699778,0.12673526,-9.454147,-14.783774
0.10245899,0.14806561,-9.200738,-14.803678
0.0,0.12202842,-9.031074,-14.910944
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.58979136,0.0,0.0,0.0
0.4912505999999999,1.3837553,0.9737171999999998,-0.36162257
0.4319848,2.4169672,1.8598511,-0.29441056
0.37363487,3.5411248,1.6227493999999998,-0.35875276
0.20405352,3.853875,0.7401827,-0.1947698
0.17237912,3.88364,0.30246633,-0.17071702
0.14385842,4.0214043,0.06531949,0.061732274
0.11688718,4.1444006,0.11130351,0.3232086
0.09274674,4.0289044,0.14450975,0.5230323
0.063758925,3.9357157,0.26524273,0.62196755
0.029493388,3.9455621,0.3705237,0.6723578
0.0,3.948079,0.36669835,0.64022046
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.2758093,0.0,0.0,0.0
1.0875436,-0.470358,-0.90665996,4.4380690000000005
0.934769,-0.6850509,-1.3814826999999998,8.155109
0.76506907,-0.49372828,-0.76923054,11.201975
0.64488,-1.3717995,-1.7467119999999998,13.233270999999998
0.54389834,-2.2199934,-3.4288392,13.707978
0.46928045,-3.3222134,-4.1190696,14.563502
0.41743186,-4.413007,-4.4469566,15.154569
0.3593487,-5.209750700000002,-4.97834,15.695523
0.31440052,-5.974953,-4.732933999999998,15.283342
0.25523418,-6.2564025,-4.1257234,14.926615
0.20636883,-6.3886037,-3.662622,14.603194
0.16844587,-6.2345223,-3.3466400000000003,14.329625
0.14326370000000002,-6.0620136,-3.1306403,14.1149435
0.11669053,-6.018314,-2.990452,13.863420499999998
0.08835118,-6.0577016,-2.9183443,13.645651
0.05880041,-6.0221004,-2.8046737,13.52101
0.021040402000000003,-5.963806,-2.7407715,13.461543
0.0,-5.9715347,-2.7540693,13.470266
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.8816973,0.0,0.0,0.0
0.72227746,-0.54177094,-2.6023993,-1.1449233
