0,1,2,3
0.37603492,0.0,0.0,0.0
0.30982378,0.12617034,0.19315282,-0.23679774
0.24620388,0.21909878,0.4476412,-0.25755003
0.18652,0.33564293,0.54817414,-0.40941283
0.12701406,0.38379377,0.49358794,-0.55548716
0.060404766,0.28538227,0.51524186,-0.58008254
0.0,0.272948,0.5364645,-0.5629192
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.748957,0.0,0.0,0.0
0.476193,-0.58641016,-0.3606364,-0.07253949
0.3898866,-0.80592835,-0.6783703000000001,0.100112304
0.29322547,-0.8384084,-1.010431,0.019937228
0.21941046,-0.7014405,-1.1734104,-0.124353565
0.16231601,-0.67785573,-0.98824364,-0.07628796
0.03966689,-0.59123564,-1.0956521,-0.101874255
0.0,-0.5902089,-1.1067935,-0.11057368
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.67755,0.0,0.0,0.0
1.3600627,-0.974753,1.3774195,-0.2063974
0.8948966999999999,-1.9973639,2.2542272,-0.22050242
0.7168312,-2.549893,2.8044283,0.102716975
0.5922288,-2.8302283,2.821439,0.69932103
0.4926277,-2.9906278,2.7865999,1.208017
0.3847767,-2.8614054,2.8961368,1.6125664
0.3148282,-2.8189654,3.16099,1.8190612
0.24617323,-3.0043676,3.3539946000000005,1.8869944
0.18265668,-3.1802735,3.4743981,1.8509357
0.120360635,-3.3048058,3.3969638,1.9140227
0.058292896,-3.3431234,3.457657,1.8499131
0.0,-3.3646884,3.4413247000000005,1.8577383
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0479572,0.0,0.0,0.0
0.8613509,-0.70018476,0.47300053,-0.54785043
0.7267579000000001,-1.2029192,1.0790857,-0.73258406
0.64943933,-1.5093678,1.2349284,-0.85252947
0.49759233,-1.8367219,1.5866438,-1.1972083
0.28881904,-1.9945315,1.9906567,-1.2888056
0.20719970000000004,-2.1907897000000003,2.1507485,-1.2832336000000002
0.13263685,-2.2826085,2.307791,-1.2819376
0.05988779,-2.2995586,2.4053476000000003,-1.2342703000000002
0.0,-2.2937167,2.4323034,-1.223693
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
